,Unnamed: 0,Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
189,191, Disgust at the corruption that stains society.     , Disgust         , CorruptedHeart   , Instagram , Disgust Corruption                        ,7,15, UK            ,2016,7,1,9
190,192," Sinking in despair, each day darker than the last. ", Despair         , DrowningSoul     , Facebook , Despair DarkDays                          ,10,20, India         ,2020,8,20,20
191,193," Grief overwhelms, a storm of emotions within.      ", Grief           , StormyHeart      , Twitter  , Grief EmotionalStorm                      ,12,25, Canada        ,2021,2,25,15
192,194," Loneliness echoes in empty spaces, yearning for connection.", Loneliness , EchoingSoul     , Instagram , Loneliness YearningForConnection         ,15,30, Australia     ,2019,9,12,18
193,195," Jealousy poisons my thoughts, resentment brewing within.", Jealousy    , PoisonedMind    , Facebook , Jealousy Resentment                       ,8,15, USA           ,2018,8,5,16
194,196," Resentment festers, a wound that refuses to heal.  ", Resentment      , UnforgivingSoul  , Twitter  , Resentment Unforgiving                    ,10,20, India         ,2017,1,12,12
195,197," Frustration escalates, a thunderstorm of emotions. ", Frustration     , ThunderingMind   , Instagram , Frustration EmotionalOutburst            ,12,25, UK            ,2022,4,5,14
196,198," Boredom lingers, a stagnant pool of indifference.  ", Boredom         , StagnantHeart    , Facebook , Boredom Stagnation                        ,7,15, Canada        ,2021,10,2,19
197,199," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ", Curiosity       , InquisitiveMind   , Twitter  , Curiosity Learning                        ,15,30, USA          ,2023,4,15,10
198,200," Lost in the vast sea of information, an indifferent wave in the digital ocean. ", Indifference    , ApatheticObserver , Instagram , Indifference DigitalOverload              ,7,15, Canada          ,2022,11,28,17
199,201," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ", Confusion       , SeekingClarity    , Facebook , Confusion LifePuzzle                     ,10,20, UK           ,2020,4,2,9
